Test Time: 2025-06-04 00:24:21
Number of cycles: 2
Start potential: 0.0 V
First inversion potential: 1.0 V
Second inversion potential: -1.0 V
Scan rate: 2.0 V/s
Resistor value: ±2.5uA
Capacitor value: 1e-07 F
Filename: debug_data.csv

Cycle 1
Voltage (V),Current (nA)
0.1924206264915722,19279.609279609278
0.19367011107917984,19426.129426129428
0.19491959566678743,19536.019536019536
0.19616908025439506,19658.119658119656
0.19741856484200265,19816.84981684982
0.19866804942961028,19877.89987789988
0.19991753401721787,20024.420024420026
0.2011670186048255,20122.10012210012
0.20241650319243312,20219.78021978022
0.20366598778004072,20366.300366300366
0.20491547236764834,20500.6105006105
0.20616495695525594,20622.71062271062
0.20741444154286356,20744.810744810744
0.20866392613047116,20854.700854700855
0.20991341071807879,20952.380952380954
0.21116289530568638,21086.691086691088
0.212412379893294,21196.581196581195
0.21366186448090163,21306.471306471307
0.21491134906850923,21465.201465201462
0.21616083365611685,21575.09157509157
0.21741031824372445,21697.191697191694
0.21865980283133207,21782.66178266178
0.21990928741893967,21929.181929181934
0.2211587720065473,22075.702075702076
